PERMNO,date,TICKER,CUSIP,RET
86158,09/30/2016,CTSH,19244610,-0.169394
86158,10/31/2016,CTSH,19244610,0.076294
86158,11/30/2016,CTSH,19244610,0.072639
86158,12/30/2016,CTSH,19244610,0.017248
86158,01/31/2017,CTSH,19244610,-0.061396
86158,02/28/2017,CTSH,19244610,0.12702
86158,03/31/2017,CTSH,19244610,0.004218
86158,04/28/2017,CTSH,19244610,0.011929
86158,05/31/2017,CTSH,19244610,0.113399
86158,06/30/2017,CTSH,19244610,-0.007622
86158,07/31/2017,CTSH,19244610,0.043976
86158,08/31/2017,CTSH,19244610,0.023081
86158,09/29/2017,CTSH,19244610,0.025011
86158,10/31/2017,CTSH,19244610,0.043149
86158,11/30/2017,CTSH,19244610,-0.042817
86158,12/29/2017,CTSH,19244610,-0.017432
86158,01/31/2018,CTSH,19244610,0.098001
86158,02/28/2018,CTSH,19244610,0.054373
86158,03/29/2018,CTSH,19244610,-0.018532
86158,04/30/2018,CTSH,19244610,0.016398
86158,05/31/2018,CTSH,19244610,-0.076632
86158,06/29/2018,CTSH,19244610,0.048308
86158,07/31/2018,CTSH,19244610,0.031776
86158,08/31/2018,CTSH,19244610,-0.035215
86158,09/28/2018,CTSH,19244610,-0.01632
86158,10/31/2018,CTSH,19244610,-0.10525
86158,11/30/2018,CTSH,19244610,0.034768
86158,12/31/2018,CTSH,19244610,-0.108803
86158,01/31/2019,CTSH,19244610,0.097669
86158,02/28/2019,CTSH,19244610,0.021527
86158,03/29/2019,CTSH,19244610,0.02071
86158,04/30/2019,CTSH,19244610,0.007039
86158,05/31/2019,CTSH,19244610,-0.148437
86158,06/28/2019,CTSH,19244610,0.023575
86158,07/31/2019,CTSH,19244610,0.027607
86158,08/30/2019,CTSH,19244610,-0.054498
86158,09/30/2019,CTSH,19244610,-0.018325
86158,10/31/2019,CTSH,19244610,0.011201
86158,11/29/2019,CTSH,19244610,0.0553
86158,12/31/2019,CTSH,19244610,-0.0326
86158,01/31/2020,CTSH,19244610,-0.010319
86158,02/28/2020,CTSH,19244610,-0.003747
86158,03/31/2020,CTSH,19244610,-0.237321
86158,04/30/2020,CTSH,19244610,0.248547
86158,05/29/2020,CTSH,19244610,-0.08273
86158,06/30/2020,CTSH,19244610,0.072075
86158,07/31/2020,CTSH,19244610,0.202394
86158,08/31/2020,CTSH,19244610,-0.01815
86158,09/30/2020,CTSH,19244610,0.038289
86158,10/30/2020,CTSH,19244610,0.02881
86158,11/30/2020,CTSH,19244610,0.097032
86158,12/31/2020,CTSH,19244610,0.048893
86158,01/29/2021,CTSH,19244610,-0.04881
86158,02/26/2021,CTSH,19244610,-0.054265
86158,03/31/2021,CTSH,19244610,0.063146
86158,04/30/2021,CTSH,19244610,0.029186
86158,05/28/2021,CTSH,19244610,-0.106965
86158,06/30/2021,CTSH,19244610,-0.032141
86158,07/30/2021,CTSH,19244610,0.061652
86158,08/31/2021,CTSH,19244610,0.041072
86158,09/30/2021,CTSH,19244610,-0.027519
86158,10/29/2021,CTSH,19244610,0.052284
86158,11/30/2021,CTSH,19244610,0.001665
86158,12/31/2021,CTSH,19244610,0.137728
86228,01/31/2011,RSG,76075910,0.03282
86228,02/28/2011,RSG,76075910,-0.039883
86228,03/31/2011,RSG,76075910,0.021277
86228,04/29/2011,RSG,76075910,0.052597
86228,05/31/2011,RSG,76075910,-0.003163
86228,06/30/2011,RSG,76075910,-0.014911
86228,07/29/2011,RSG,76075910,-0.058995
86228,08/31/2011,RSG,76075910,0.045815
86228,09/30/2011,RSG,76075910,-0.068511
86228,10/31/2011,RSG,76075910,0.014255
86228,11/30/2011,RSG,76075910,-0.035488
86228,12/30/2011,RSG,76075910,0.011658
86228,01/31/2012,RSG,76075910,0.062795
86228,02/29/2012,RSG,76075910,0.018784
86228,03/30/2012,RSG,76075910,0.031847
86228,04/30/2012,RSG,76075910,-0.104385
86228,05/31/2012,RSG,76075910,-0.036902
86228,06/29/2012,RSG,76075910,0.01214
86228,07/31/2012,RSG,76075910,0.093349
86228,08/31/2012,RSG,76075910,-0.044245
86228,09/28/2012,RSG,76075910,0.003436
86228,10/31/2012,RSG,76075910,0.030534
86228,11/30/2012,RSG,76075910,0.004233
86228,12/31/2012,RSG,76075910,0.038462
86228,01/31/2013,RSG,76075910,0.087283
86228,02/28/2013,RSG,76075910,-0.014111
86228,03/28/2013,RSG,76075910,0.057093
86228,04/30/2013,RSG,76075910,0.032727
86228,05/31/2013,RSG,76075910,0.000587
86228,06/28/2013,RSG,76075910,0.002199
86228,07/31/2013,RSG,76075910,-0.000884
86228,08/30/2013,RSG,76075910,-0.041286
86228,09/30/2013,RSG,76075910,0.034143
86228,10/31/2013,RSG,76075910,0.003297
86228,11/29/2013,RSG,76075910,0.043024
86228,12/31/2013,RSG,76075910,-0.041535
86228,01/31/2014,RSG,76075910,-0.035241
86228,02/28/2014,RSG,76075910,0.064939
86228,03/31/2014,RSG,76075910,0.009088
86228,04/30/2014,RSG,76075910,0.027225
86228,05/30/2014,RSG,76075910,0.008834
86228,06/30/2014,RSG,76075910,0.079943
86228,07/31/2014,RSG,76075910,-0.001053
86228,08/29/2014,RSG,76075910,0.03691
86228,09/30/2014,RSG,76075910,-0.000763
86228,10/31/2014,RSG,76075910,-0.015889
86228,11/28/2014,RSG,76075910,0.03151
86228,12/31/2014,RSG,76075910,0.023226
86228,01/30/2015,RSG,76075910,-0.014161
86228,02/27/2015,RSG,76075910,0.03125
86228,03/31/2015,RSG,76075910,-0.001955
86228,04/30/2015,RSG,76075910,0.001726
86228,05/29/2015,RSG,76075910,-0.008368
86228,06/30/2015,RSG,76075910,-0.020849
86228,07/31/2015,RSG,76075910,0.08578
86228,08/31/2015,RSG,76075910,-0.036445
86228,09/30/2015,RSG,76075910,0.012689
86228,10/30/2015,RSG,76075910,0.061651
86228,11/30/2015,RSG,76075910,0.004344
86228,12/31/2015,RSG,76075910,0.008195
86228,01/29/2016,RSG,76075910,-0.006592
86228,02/29/2016,RSG,76075910,0.045767
86228,03/31/2016,RSG,76075910,0.049234
86228,04/29/2016,RSG,76075910,-0.012172
86228,05/31/2016,RSG,76075910,0.025706
86228,06/30/2016,RSG,76075910,0.068973
86228,07/29/2016,RSG,76075910,-0.000975
